Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),AI Rationale for the selection of the source/EF,Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,Ai Rationale for the selection,,,
Rest-of-World,Metal,Stainless Steel,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,,Total material weight of the product,3.11-cutoff-2421.pdf,1.818,":bar_chart: Total GWP (A1–A3): 5.74 kg CO₂e/kg
:mag: Step-by-Step Disaggregation Method:
1. Use Industry Benchmarks and Literature Ratios
From a range of stainless steel and general steel EPDs and LCA studies:
A1 (raw material production) typically contributes 90–95% of cradle-to-gate emissions.
A2 (transport to manufacturer) contributes about 1–3% depending on distances and mode.
A3 (manufacturing processes) contributes 5–7%, especially for stainless steel, which often requires energy-intensive finishing processes (e.g., welding, polishing, cutting).
2. Apply a Benchmark Ratio
A conservative and evidence-based allocation could be:
A1 = 91%
A2 = 2%
A3 = 7%",,Acceptable proxy for stainless steel if material input is stainless steel,Ecoinvent V 3.11,"
✅ Suitability Assessment: Direct Match (✔️)
Dataset: ""metal working, average for metal product manufacturing – ROW""
Material Class & Type: Metal → Stainless Steel

Dataset Scope: Manufacturing-stage (A3)",,,
Europe,Metal,Primary Aluminum,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,,Total material weight of the product,3.11-cutoff-9365.pdf,3.586,,,Ecoinvent,Ecoinvent V 3.12,"✅ Suitability Assessment: Direct Match (✔️)
Dataset: ""metal working, average for aluminium product manufacturing – RER""
Material Class & Type: Metal → Primary Aluminum

Assessment Scope: A3 (Manufacturing Stage Only)
",,,
Rest-of-World,Metal,Primary Aluminum,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,,Total material weight of the product,3.11-cutoff-9365.pdf,4.157,,,Ecoinvent,Ecoinvent V 3.13,"✅ Suitability Assessment: Direct Match (✔️)
Dataset: ""metal working, average for aluminium product manufacturing – RoW""
Material Class & Type: Metal → Primary Aluminum

Assessment Scope: A3 (Manufacturing Stage Only)

",,,
Europe,Metal,Hot Rolled Low-Alloy Steel,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,,Total material weight of the product,3.11-cutoff-8721.pdf,1.818,,,Ecoinvent,Ecoinvent V 3.11,"✅ Suitability Assessment: Direct Match (✔️)
Dataset: ""metal working, average for metal product manufacturing – RER""
Material Class & Type: Metal → Hot Rolled Low-Alloy Steel

Assessment Focus: A3 stage only (Manufacturing processes)
",,,
United States.,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,A3 stage of the fabricated Structural Steel Sections,"This EPD presents inventory and impact assessment results which combine the manufacturing stage (A1) of SDI structural sections with industry-average transport to fabrication (A2) and fabrication (A3) as published by AISC in the EPD for “Fabricated Hot-rolled Structural Sections” (American Institute of Steel Construction, 2021).",1,,"Declared Unit: One metric ton (1,000 kg) of fabricated steel structural sections",EPD_ASTM – Fabricated Hot-Rolled Structural Steel Sections_ASTM-EPD-341_US_062022 062027.pdf,Keep out of backend updates,(216*0.277778)/1000,0.05994010789,EPD,EPD,"✅ Suitability Assessment: Direct Match (✔️)
Dataset: EPD – Fabricated Hot-Rolled Structural Steel Sections (ASTM-EPD-341)
Material Class & Type: Metal → Hot Rolled Low-Alloy Steel

Focus: A3-only environmental impacts

Geographic Scope: North America (USA)
",,,
China,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0501,,,,,,,,
Vietnam,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0377,,,,,,,,
Global,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0406,,,,,,, ,
Czech Republic,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0397,,,,,,,,
France,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0046,,,,,,,,
Netherlands,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0265,,,,,,,,
Poland,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0576,,,,,,,,
Spain,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0121,,,,,,,,
Taiwan,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0462,,,,,,,,
United States ,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0289,,,,,,,,
India,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0862,,,,,,,,
United Kingdom,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,,0.0168,,,,,,,,
China,Metal,Steel Section Bar,Hot-rolled section steel,EPD,,,,,,EPD_Welded and Hot-Rolled Section Steel_China_CN-00009报告_072024_072029.pdf,1.095,"""Based on standard LCA modeling practices for structural steel with similar characteristics and infrastructure (in China), and correlating with previous studies (e.g., World Steel EPDs), the approximate distribution of A1–A3 is commonly:

Module        Estimated Share
A1        70%
A2        5%
A3        25%

We apply this distribution to the 4.38 kg CO₂e/kg A1–A3 total.

🔢 Step 3: Compute Each Module’s CO₂e/kg
A1
= 0.70 × 4.38
= 3.066  kg CO₂e/kg
A2 =0.05 × 4.38
= 0.219  kg CO₂e/kg
A3 = 0.25 × 4.38
= 1.095  kg CO₂e/kg
A1=0.70×4.38=3.066 kg CO₂e/kg
A2=0.05×4.38=0.219 kg CO₂e/kg
A3=0.25×4.38=1.095 kg CO₂e/kg
✅ Final Estimated CO₂e Breakdown (Hot-Rolled Section Steel – China EPD)
Stage        CO₂e (kg CO₂e/kg)        Notes
A1        3.066        Raw material extraction, primary steel, paint, etc.
A2        0.219        Short-distance truck logistics (35–160 km)
A3        1.095        Electricity- and diesel-based manufacturing
Total A1–A3        4.38        As reported in EPD""",,,,,,,
India,Metal,Steel Section Bar,Steel Hot Rolled Coils,EPD,,,,,,EPD_Hot Rolled Steel Coils_India_EPD-IES-0012007_082024 082029.pdf,0.798,"Module	Emissions (kg CO₂e/kg)	Description
A1	1.643	Raw material supply (mining, sintering, etc.)
A2	0.130	Transport to manufacturing
A3	0.798	Core manufacturing (energy, furnace, etc.)
Total (A1–A3)	2.57	Matches total reported in EPD",,,,,,,
Europe,Metal,Steel Sheet,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,,Total material weight of the product,3.11-cutoff-8721.pdf,1.818,,,Ecoinvent,Ecoinvent V 3.11,"🔷 Suitability Assessment: Proxy (🔹)
Dataset: ""metal working, average for metal product manufacturing – RER""
Material Class & Type: Metal → Steel Sheet

Assessment Focus: A3-stage (forming, shaping, cutting, assembly, finishing, packaging)
",,,
Rest-of-World,Metal,Steel Sheet,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,,Total material weight of the product,3.11-cutoff-2421.pdf,2.390,,,Ecoinvent,Ecoinvent V 3.11,"🔷 Suitability Assessment: Proxy (🔹)
Dataset: “metal working, average for metal product manufacturing – RoW”
Material Class & Type: Metal → Steel Sheet

Scope Assessed: A3 manufacturing stage only
",,,
Europe,Metal,Powdercoat Steel,"metal working, average for metal product manufacturing+powder coating, steel",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","metal work: This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.
Powder Coat: The activity starts with the reception of the components at the facility. The material on which this activity is applied it is not included as input",1,,Total material weight of the product,3.11-cutoff-8721.pdf,1.818,,,Ecoinvent,Ecoinvent V 3.11-metal work+powder coating,"🔷 Suitability Assessment: Proxy (🔹)
Dataset: “metal working, average for metal product manufacturing – RER”
Material Class & Type: Metal → Powdercoat Steel

Assessment Focus: A3 stage only (forming, shaping, coating, assembly, packaging)
",,,
Rest-of-World,Metal,Powdercoat Steel,"metal working, average for metal product manufacturing+powder coating, steel",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","metal work: This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.
Powder Coat: The activity starts with the reception of the components at the facility. The material on which this activity is applied it is not included as input",1,,Total material weight of the product,3.11-cutoff-2421.pdf,2.390,,,Ecoinvent,Ecoinvent V 3.11-metal work+powder coating,"🔷 Suitability Assessment: Proxy (🔹)
Dataset: “metal working, average for metal product manufacturing – RoW”
Material Class & Type: Metal → Steel Sheet

Scope Assessed: A3 manufacturing stage only
",,,
Europe,Metal,Wrought Aluminium,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,,Total material weight of the product,3.11-cutoff-9861.pdf,3.586,,,Ecoinvent,Ecoinvent V 3.11,"✅ Suitability Assessment: Direct Match (✔️)
Dataset: “metal working, average for aluminium product manufacturing – RER”
Material Class & Type: Metal → Wrought Aluminium

Assessment Focus: A3-stage cradle-to-gate environmental impacts
",,,
Rest-of-World,Metal,Wrought Aluminium,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,,Total material weight of the product,3.11-cutoff-9365.pdf,4.157,,,Ecoinvent,Ecoinvent V 3.11,"✅ Suitability Assessment: Direct Match (✔️)
Dataset: “metal working, average for aluminium product manufacturing – ROW”
Material Class & Type: Metal → Wrought Aluminium

Assessment Focus: A3-stage cradle-to-gate environmental impacts

",,,
China,Metal,Wrought Aluminium,rought aluminum section bar production,EPD,,,,,,EPD_Wrought Aluminium Section Bar (Extruded Aluminium)_China_NEPD-43-42-MRA_072024 072029.pdf,3.960,"✅ CO₂e Breakdown Table (per 1 kg of product)
Module	Assumed Share (%)	Formula	CO₂e (kg CO₂e/kg)	Description
A1	83%	0.83 × 26.4	21.91	Raw material supply (primary aluminum, packaging)
A2	2%	0.02 × 26.4	0.53	Transport to manufacturing (road, sea freight)
A3	15%	0.15 × 26.4	3.96	Manufacturing (extrusion, cutting, coating)
Total (A1–A3)	100%	Sum of A1 + A2 + A3	26.4	Matches declared GWP-total in EPD (page 6)",,EPD,EPD,,,,
